ANIO,MES,NSELV,UBIGEO,Parentesco_con_jefe_hogar,sexo,edad,idioma_ninez,nivel_educativo,centro_estudios_E_P
2019,7,35,240101,3,2,1,,,
2019,7,35,240101,11,2,21,,6,
2019,7,63,240101,1,2,34,,8,
2019,7,63,240101,2,1,56,,6,
2019,7,63,240101,3,1,12,,3,1
2019,7,63,240101,3,1,10,,3,1
2019,7,63,240101,3,2,7,,3,1
2019,7,90,240101,1,1,54,,3,
2019,7,118,240101,1,1,28,,9,
2019,7,118,240101,2,2,25,,11,2
2019,7,118,240101,3,2,3,,2,1
2019,7,150,240101,1,1,63,,3,
2019,7,150,240101,2,2,52,,4,
2019,7,150,240101,3,1,25,,6,
